"TIME","GEO","INDIC_DE","Value"
"1960","Belgium","Divorces","4 589"
"1960","Belgium","Divorces per 100 marriages","7.0"
"1960","Bulgaria","Divorces",":"
"1960","Bulgaria","Divorces per 100 marriages",":"
"1960","Czechia","Divorces","12 970"
"1960","Czechia","Divorces per 100 marriages","17.5"
"1960","Denmark","Divorces","6 682"
"1960","Denmark","Divorces per 100 marriages","18.6"
"1960","Germany including former GDR","Divorces","73 419"
"1960","Germany including former GDR","Divorces per 100 marriages","10.7"
"1960","Estonia","Divorces","2 544"
"1960","Estonia","Divorces per 100 marriages","20.9"
"1960","Ireland","Divorces",":"
"1960","Ireland","Divorces per 100 marriages",":"
"1960","Greece","Divorces","2 463"
"1960","Greece","Divorces per 100 marriages","4.2"
"1960","Spain","Divorces",":"
"1960","Spain","Divorces per 100 marriages",":"
"1960","France","Divorces",":"
"1960","France","Divorces per 100 marriages",":"
"1960","France (metropolitan)","Divorces","30 182"
"1960","France (metropolitan)","Divorces per 100 marriages","9.4"
"1960","Croatia","Divorces","4 811"
"1960","Croatia","Divorces per 100 marriages","13.1"
"1960","Italy","Divorces",":"
"1960","Italy","Divorces per 100 marriages",":"
"1960","Cyprus","Divorces",":"
"1960","Cyprus","Divorces per 100 marriages",":"
"1960","Latvia","Divorces","5 080"
"1960","Latvia","Divorces per 100 marriages","21.7"
"1960","Lithuania","Divorces","2 364"
"1960","Lithuania","Divorces per 100 marriages","8.4"
"1960","Luxembourg","Divorces","153"
"1960","Luxembourg","Divorces per 100 marriages","6.8"
"1960","Hungary","Divorces","16 590"
"1960","Hungary","Divorces per 100 marriages","18.7"
"1960","Malta","Divorces",":"
"1960","Malta","Divorces per 100 marriages",":"
"1960","Netherlands","Divorces","5 672"
"1960","Netherlands","Divorces per 100 marriages","6.4"
"1960","Austria","Divorces","8 011"
"1960","Austria","Divorces per 100 marriages","13.7"
"1960","Poland","Divorces","14 828"
"1960","Poland","Divorces per 100 marriages","6.1"
"1960","Portugal","Divorces","749"
"1960","Portugal","Divorces per 100 marriages","1.1"
"1960","Romania","Divorces","36 947"
"1960","Romania","Divorces per 100 marriages","18.7"
"1960","Slovenia","Divorces","1 540"
"1960","Slovenia","Divorces per 100 marriages","11.0"
"1960","Slovakia","Divorces","2 321"
"1960","Slovakia","Divorces per 100 marriages","7.2"
"1960","Finland","Divorces","3 655"
"1960","Finland","Divorces per 100 marriages","11.1"
"1960","Sweden","Divorces","8 958"
"1960","Sweden","Divorces per 100 marriages","17.9"
"1960","United Kingdom","Divorces",":"
"1960","United Kingdom","Divorces per 100 marriages",":"
"1960","Iceland","Divorces","125"
"1960","Iceland","Divorces per 100 marriages","9.5"
"1960","Liechtenstein","Divorces",":"
"1960","Liechtenstein","Divorces per 100 marriages",":"
"1960","Norway","Divorces","2 379"
"1960","Norway","Divorces per 100 marriages","10.1"
"1960","Switzerland","Divorces","4 656"
"1960","Switzerland","Divorces per 100 marriages","11.2"
"1960","Montenegro","Divorces",":"
"1960","Montenegro","Divorces per 100 marriages",":"
"1960","North Macedonia","Divorces","1 013"
"1960","North Macedonia","Divorces per 100 marriages","8.5"
"1960","Albania","Divorces","850"
"1960","Albania","Divorces per 100 marriages","6.8"
"1960","Serbia","Divorces",":"
"1960","Serbia","Divorces per 100 marriages",":"
"1960","Turkey","Divorces",":"
"1960","Turkey","Divorces per 100 marriages",":"
"1960","Belarus","Divorces",":"
"1960","Belarus","Divorces per 100 marriages",":"
"1960","Bosnia and Herzegovina","Divorces",":"
"1960","Bosnia and Herzegovina","Divorces per 100 marriages",":"
