"TIME","GEO","INDIC_DE","Value"
"1960","Belgium","Proportion of live births outside marriage","2.1"
"1960","Belgium","Total fertility rate","2.54"
"1960","Belgium","Mean age of women at childbirth","28.0"
"1960","Belgium","Mean age of women at birth of first child",":"
"1960","Belgium","Median age of women at childbirth",":"
"1960","Bulgaria","Proportion of live births outside marriage","8.0"
"1960","Bulgaria","Total fertility rate","2.31"
"1960","Bulgaria","Mean age of women at childbirth","25.1"
"1960","Bulgaria","Mean age of women at birth of first child",":"
"1960","Bulgaria","Median age of women at childbirth",":"
"1960","Czechia","Proportion of live births outside marriage","4.9"
"1960","Czechia","Total fertility rate","2.09"
"1960","Czechia","Mean age of women at childbirth","25.7"
"1960","Czechia","Mean age of women at birth of first child",":"
"1960","Czechia","Median age of women at childbirth",":"
"1960","Denmark","Proportion of live births outside marriage","7.8"
"1960","Denmark","Total fertility rate","2.57"
"1960","Denmark","Mean age of women at childbirth","26.9"
"1960","Denmark","Mean age of women at birth of first child",":"
"1960","Denmark","Median age of women at childbirth",":"
"1960","Germany including former GDR","Proportion of live births outside marriage","7.6"
"1960","Germany including former GDR","Total fertility rate",":"
"1960","Germany including former GDR","Mean age of women at childbirth",":"
"1960","Germany including former GDR","Mean age of women at birth of first child",":"
"1960","Germany including former GDR","Median age of women at childbirth",":"
"1960","Estonia","Proportion of live births outside marriage",":"
"1960","Estonia","Total fertility rate","1.98"
"1960","Estonia","Mean age of women at childbirth","27.9"
"1960","Estonia","Mean age of women at birth of first child",":"
"1960","Estonia","Median age of women at childbirth",":"
"1960","Ireland","Proportion of live births outside marriage","1.6"
"1960","Ireland","Total fertility rate","3.78"
"1960","Ireland","Mean age of women at childbirth","31.4"
"1960","Ireland","Mean age of women at birth of first child",":"
"1960","Ireland","Median age of women at childbirth",":"
"1960","Greece","Proportion of live births outside marriage","1.2"
"1960","Greece","Total fertility rate","2.23"
"1960","Greece","Mean age of women at childbirth","28.8"
"1960","Greece","Mean age of women at birth of first child",":"
"1960","Greece","Median age of women at childbirth",":"
"1960","Spain","Proportion of live births outside marriage","2.3"
"1960","Spain","Total fertility rate",":"
"1960","Spain","Mean age of women at childbirth",":"
"1960","Spain","Mean age of women at birth of first child",":"
"1960","Spain","Median age of women at childbirth",":"
"1960","France","Proportion of live births outside marriage",":"
"1960","France","Total fertility rate",":"
"1960","France","Mean age of women at childbirth",":"
"1960","France","Mean age of women at birth of first child",":"
"1960","France","Median age of women at childbirth",":"
"1960","France (metropolitan)","Proportion of live births outside marriage","6.1"
"1960","France (metropolitan)","Total fertility rate","2.73"
"1960","France (metropolitan)","Mean age of women at childbirth","27.6"
"1960","France (metropolitan)","Mean age of women at birth of first child",":"
"1960","France (metropolitan)","Median age of women at childbirth",":"
"1960","Croatia","Proportion of live births outside marriage","7.4"
"1960","Croatia","Total fertility rate",":"
"1960","Croatia","Mean age of women at childbirth",":"
"1960","Croatia","Mean age of women at birth of first child",":"
"1960","Croatia","Median age of women at childbirth",":"
"1960","Italy","Proportion of live births outside marriage","2.4"
"1960","Italy","Total fertility rate","2.40"
"1960","Italy","Mean age of women at childbirth","30.3"
"1960","Italy","Mean age of women at birth of first child",":"
"1960","Italy","Median age of women at childbirth",":"
"1960","Cyprus","Proportion of live births outside marriage",":"
"1960","Cyprus","Total fertility rate",":"
"1960","Cyprus","Mean age of women at childbirth",":"
"1960","Cyprus","Mean age of women at birth of first child",":"
"1960","Cyprus","Median age of women at childbirth",":"
"1960","Latvia","Proportion of live births outside marriage","11.9"
"1960","Latvia","Total fertility rate",":"
"1960","Latvia","Mean age of women at childbirth",":"
"1960","Latvia","Mean age of women at birth of first child",":"
"1960","Latvia","Median age of women at childbirth",":"
"1960","Lithuania","Proportion of live births outside marriage",":"
"1960","Lithuania","Total fertility rate",":"
"1960","Lithuania","Mean age of women at childbirth",":"
"1960","Lithuania","Mean age of women at birth of first child",":"
"1960","Lithuania","Median age of women at childbirth",":"
"1960","Luxembourg","Proportion of live births outside marriage","3.2"
"1960","Luxembourg","Total fertility rate","2.29"
"1960","Luxembourg","Mean age of women at childbirth","27.7"
"1960","Luxembourg","Mean age of women at birth of first child",":"
"1960","Luxembourg","Median age of women at childbirth",":"
"1960","Hungary","Proportion of live births outside marriage","5.5"
"1960","Hungary","Total fertility rate","2.02"
"1960","Hungary","Mean age of women at childbirth","25.8"
"1960","Hungary","Mean age of women at birth of first child",":"
"1960","Hungary","Median age of women at childbirth",":"
"1960","Malta","Proportion of live births outside marriage","0.7"
"1960","Malta","Total fertility rate",":"
"1960","Malta","Mean age of women at childbirth",":"
"1960","Malta","Mean age of women at birth of first child",":"
"1960","Malta","Median age of women at childbirth",":"
"1960","Netherlands","Proportion of live births outside marriage","1.4"
"1960","Netherlands","Total fertility rate","3.12"
"1960","Netherlands","Mean age of women at childbirth","29.8"
"1960","Netherlands","Mean age of women at birth of first child",":"
"1960","Netherlands","Median age of women at childbirth",":"
"1960","Austria","Proportion of live births outside marriage","13.0"
"1960","Austria","Total fertility rate","2.69"
"1960","Austria","Mean age of women at childbirth","27.6"
"1960","Austria","Mean age of women at birth of first child",":"
"1960","Austria","Median age of women at childbirth",":"
"1960","Poland","Proportion of live births outside marriage",":"
"1960","Poland","Total fertility rate",":"
"1960","Poland","Mean age of women at childbirth",":"
"1960","Poland","Mean age of women at birth of first child",":"
"1960","Poland","Median age of women at childbirth",":"
"1960","Portugal","Proportion of live births outside marriage","9.5"
"1960","Portugal","Total fertility rate","3.16"
"1960","Portugal","Mean age of women at childbirth","29.6"
"1960","Portugal","Mean age of women at birth of first child",":"
"1960","Portugal","Median age of women at childbirth",":"
"1960","Romania","Proportion of live births outside marriage",":"
"1960","Romania","Total fertility rate",":"
"1960","Romania","Mean age of women at childbirth",":"
"1960","Romania","Mean age of women at birth of first child",":"
"1960","Romania","Median age of women at childbirth",":"
"1960","Slovenia","Proportion of live births outside marriage","9.1"
"1960","Slovenia","Total fertility rate",":"
"1960","Slovenia","Mean age of women at childbirth",":"
"1960","Slovenia","Mean age of women at birth of first child",":"
"1960","Slovenia","Median age of women at childbirth",":"
"1960","Slovakia","Proportion of live births outside marriage","4.7"
"1960","Slovakia","Total fertility rate","3.04"
"1960","Slovakia","Mean age of women at childbirth","26.8"
"1960","Slovakia","Mean age of women at birth of first child",":"
"1960","Slovakia","Median age of women at childbirth",":"
"1960","Finland","Proportion of live births outside marriage","4.0"
"1960","Finland","Total fertility rate","2.72"
"1960","Finland","Mean age of women at childbirth","28.3"
"1960","Finland","Mean age of women at birth of first child",":"
"1960","Finland","Median age of women at childbirth",":"
"1960","Sweden","Proportion of live births outside marriage","11.3"
"1960","Sweden","Total fertility rate",":"
"1960","Sweden","Mean age of women at childbirth",":"
"1960","Sweden","Mean age of women at birth of first child",":"
"1960","Sweden","Median age of women at childbirth",":"
"1960","United Kingdom","Proportion of live births outside marriage","5.2"
"1960","United Kingdom","Total fertility rate",":"
"1960","United Kingdom","Mean age of women at childbirth",":"
"1960","United Kingdom","Mean age of women at birth of first child",":"
"1960","United Kingdom","Median age of women at childbirth",":"
"1960","Iceland","Proportion of live births outside marriage","25.3"
"1960","Iceland","Total fertility rate",":"
"1960","Iceland","Mean age of women at childbirth",":"
"1960","Iceland","Mean age of women at birth of first child",":"
"1960","Iceland","Median age of women at childbirth",":"
"1960","Liechtenstein","Proportion of live births outside marriage","3.7"
"1960","Liechtenstein","Total fertility rate",":"
"1960","Liechtenstein","Mean age of women at childbirth",":"
"1960","Liechtenstein","Mean age of women at birth of first child",":"
"1960","Liechtenstein","Median age of women at childbirth",":"
"1960","Norway","Proportion of live births outside marriage","3.7"
"1960","Norway","Total fertility rate",":"
"1960","Norway","Mean age of women at childbirth",":"
"1960","Norway","Mean age of women at birth of first child",":"
"1960","Norway","Median age of women at childbirth",":"
"1960","Switzerland","Proportion of live births outside marriage","3.8"
"1960","Switzerland","Total fertility rate","2.44"
"1960","Switzerland","Mean age of women at childbirth","28.7"
"1960","Switzerland","Mean age of women at birth of first child",":"
"1960","Switzerland","Median age of women at childbirth",":"
"1960","Montenegro","Proportion of live births outside marriage",":"
"1960","Montenegro","Total fertility rate",":"
"1960","Montenegro","Mean age of women at childbirth",":"
"1960","Montenegro","Mean age of women at birth of first child",":"
"1960","Montenegro","Median age of women at childbirth",":"
"1960","North Macedonia","Proportion of live births outside marriage","5.1"
"1960","North Macedonia","Total fertility rate",":"
"1960","North Macedonia","Mean age of women at childbirth",":"
"1960","North Macedonia","Mean age of women at birth of first child",":"
"1960","North Macedonia","Median age of women at childbirth",":"
"1960","Albania","Proportion of live births outside marriage",":"
"1960","Albania","Total fertility rate",":"
"1960","Albania","Mean age of women at childbirth",":"
"1960","Albania","Mean age of women at birth of first child",":"
"1960","Albania","Median age of women at childbirth",":"
"1960","Serbia","Proportion of live births outside marriage",":"
"1960","Serbia","Total fertility rate",":"
"1960","Serbia","Mean age of women at childbirth",":"
"1960","Serbia","Mean age of women at birth of first child",":"
"1960","Serbia","Median age of women at childbirth",":"
"1960","Turkey","Proportion of live births outside marriage",":"
"1960","Turkey","Total fertility rate",":"
"1960","Turkey","Mean age of women at childbirth",":"
"1960","Turkey","Mean age of women at birth of first child",":"
"1960","Turkey","Median age of women at childbirth",":"
"1960","Andorra","Proportion of live births outside marriage",":"
"1960","Andorra","Total fertility rate",":"
"1960","Andorra","Mean age of women at childbirth",":"
"1960","Andorra","Mean age of women at birth of first child",":"
"1960","Andorra","Median age of women at childbirth",":"
"1960","Belarus","Proportion of live births outside marriage",":"
"1960","Belarus","Total fertility rate",":"
"1960","Belarus","Mean age of women at childbirth",":"
"1960","Belarus","Mean age of women at birth of first child",":"
"1960","Belarus","Median age of women at childbirth",":"
"1960","Bosnia and Herzegovina","Proportion of live births outside marriage",":"
"1960","Bosnia and Herzegovina","Total fertility rate",":"
"1960","Bosnia and Herzegovina","Mean age of women at childbirth",":"
"1960","Bosnia and Herzegovina","Mean age of women at birth of first child",":"
"1960","Bosnia and Herzegovina","Median age of women at childbirth",":"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Proportion of live births outside marriage",":"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Total fertility rate",":"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Mean age of women at childbirth",":"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Mean age of women at birth of first child",":"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Median age of women at childbirth",":"
"1960","Moldova","Proportion of live births outside marriage",":"
"1960","Moldova","Total fertility rate",":"
"1960","Moldova","Mean age of women at childbirth",":"
"1960","Moldova","Mean age of women at birth of first child",":"
"1960","Moldova","Median age of women at childbirth",":"
