"TIME","GEO","INDIC_DE","SEX","AGE","Value"
"1960","Belgium","Life expectancy at given exact age (ex)","Total","Less than 1 year","69.7"
"1960","Belgium","Life expectancy at given exact age (ex)","Males","Less than 1 year","66.8"
"1960","Belgium","Life expectancy at given exact age (ex)","Females","Less than 1 year","72.8"
"1960","Bulgaria","Life expectancy at given exact age (ex)","Total","Less than 1 year","69.3"
"1960","Bulgaria","Life expectancy at given exact age (ex)","Males","Less than 1 year","67.5"
"1960","Bulgaria","Life expectancy at given exact age (ex)","Females","Less than 1 year","71.1"
"1960","Czechia","Life expectancy at given exact age (ex)","Total","Less than 1 year","70.7"
"1960","Czechia","Life expectancy at given exact age (ex)","Males","Less than 1 year","67.8"
"1960","Czechia","Life expectancy at given exact age (ex)","Females","Less than 1 year","73.5"
"1960","Denmark","Life expectancy at given exact age (ex)","Total","Less than 1 year",":"
"1960","Denmark","Life expectancy at given exact age (ex)","Males","Less than 1 year",":"
"1960","Denmark","Life expectancy at given exact age (ex)","Females","Less than 1 year",":"
"1960","Germany including former GDR","Life expectancy at given exact age (ex)","Total","Less than 1 year","69.2"
"1960","Germany including former GDR","Life expectancy at given exact age (ex)","Males","Less than 1 year","66.5"
"1960","Germany including former GDR","Life expectancy at given exact age (ex)","Females","Less than 1 year","71.7"
"1960","Estonia","Life expectancy at given exact age (ex)","Total","Less than 1 year","69.4"
"1960","Estonia","Life expectancy at given exact age (ex)","Males","Less than 1 year","64.7"
"1960","Estonia","Life expectancy at given exact age (ex)","Females","Less than 1 year","73.1"
"1960","Ireland","Life expectancy at given exact age (ex)","Total","Less than 1 year",":"
"1960","Ireland","Life expectancy at given exact age (ex)","Males","Less than 1 year",":"
"1960","Ireland","Life expectancy at given exact age (ex)","Females","Less than 1 year",":"
"1960","Greece","Life expectancy at given exact age (ex)","Total","Less than 1 year",":"
"1960","Greece","Life expectancy at given exact age (ex)","Males","Less than 1 year",":"
"1960","Greece","Life expectancy at given exact age (ex)","Females","Less than 1 year",":"
"1960","Spain","Life expectancy at given exact age (ex)","Total","Less than 1 year",":"
"1960","Spain","Life expectancy at given exact age (ex)","Males","Less than 1 year",":"
"1960","Spain","Life expectancy at given exact age (ex)","Females","Less than 1 year",":"
"1960","France","Life expectancy at given exact age (ex)","Total","Less than 1 year",":"
"1960","France","Life expectancy at given exact age (ex)","Males","Less than 1 year",":"
"1960","France","Life expectancy at given exact age (ex)","Females","Less than 1 year",":"
"1960","France (metropolitan)","Life expectancy at given exact age (ex)","Total","Less than 1 year",":"
"1960","France (metropolitan)","Life expectancy at given exact age (ex)","Males","Less than 1 year",":"
"1960","France (metropolitan)","Life expectancy at given exact age (ex)","Females","Less than 1 year",":"
"1960","Croatia","Life expectancy at given exact age (ex)","Total","Less than 1 year",":"
"1960","Croatia","Life expectancy at given exact age (ex)","Males","Less than 1 year",":"
