"TIME","GEO","INDIC_DE","Value"
"1960","Belgium","Mean age at first marriage - males",":"
"1960","Belgium","Mean age at first marriage - females",":"
"1960","Belgium","Total first marriage rate - males",":"
"1960","Belgium","Total first marriage rate - females",":"
"1960","Bulgaria","Mean age at first marriage - males",":"
"1960","Bulgaria","Mean age at first marriage - females",":"
"1960","Bulgaria","Total first marriage rate - males",":"
"1960","Bulgaria","Total first marriage rate - females",":"
"1960","Czechia","Mean age at first marriage - males",":"
"1960","Czechia","Mean age at first marriage - females",":"
"1960","Czechia","Total first marriage rate - males",":"
"1960","Czechia","Total first marriage rate - females",":"
"1960","Denmark","Mean age at first marriage - males",":"
"1960","Denmark","Mean age at first marriage - females",":"
"1960","Denmark","Total first marriage rate - males",":"
"1960","Denmark","Total first marriage rate - females",":"
"1960","Germany including former GDR","Mean age at first marriage - males",":"
"1960","Germany including former GDR","Mean age at first marriage - females",":"
"1960","Germany including former GDR","Total first marriage rate - males",":"
"1960","Germany including former GDR","Total first marriage rate - females",":"
"1960","Estonia","Mean age at first marriage - males",":"
"1960","Estonia","Mean age at first marriage - females",":"
"1960","Estonia","Total first marriage rate - males",":"
"1960","Estonia","Total first marriage rate - females",":"
"1960","Ireland","Mean age at first marriage - males",":"
"1960","Ireland","Mean age at first marriage - females",":"
"1960","Ireland","Total first marriage rate - males",":"
"1960","Ireland","Total first marriage rate - females",":"
"1960","Greece","Mean age at first marriage - males",":"
"1960","Greece","Mean age at first marriage - females",":"
"1960","Greece","Total first marriage rate - males",":"
"1960","Greece","Total first marriage rate - females",":"
"1960","Spain","Mean age at first marriage - males",":"
"1960","Spain","Mean age at first marriage - females",":"
"1960","Spain","Total first marriage rate - males",":"
"1960","Spain","Total first marriage rate - females",":"
"1960","France","Mean age at first marriage - males",":"
"1960","France","Mean age at first marriage - females",":"
"1960","France","Total first marriage rate - males",":"
"1960","France","Total first marriage rate - females",":"
"1960","France (metropolitan)","Mean age at first marriage - males",":"
"1960","France (metropolitan)","Mean age at first marriage - females",":"
"1960","France (metropolitan)","Total first marriage rate - males",":"
"1960","France (metropolitan)","Total first marriage rate - females",":"
"1960","Croatia","Mean age at first marriage - males",":"
"1960","Croatia","Mean age at first marriage - females",":"
"1960","Croatia","Total first marriage rate - males",":"
"1960","Croatia","Total first marriage rate - females",":"
"1960","Italy","Mean age at first marriage - males",":"
"1960","Italy","Mean age at first marriage - females",":"
"1960","Italy","Total first marriage rate - males",":"
"1960","Italy","Total first marriage rate - females",":"
"1960","Cyprus","Mean age at first marriage - males",":"
"1960","Cyprus","Mean age at first marriage - females",":"
"1960","Cyprus","Total first marriage rate - males",":"
"1960","Cyprus","Total first marriage rate - females",":"
"1960","Latvia","Mean age at first marriage - males",":"
"1960","Latvia","Mean age at first marriage - females",":"
"1960","Latvia","Total first marriage rate - males",":"
"1960","Latvia","Total first marriage rate - females",":"
"1960","Lithuania","Mean age at first marriage - males",":"
"1960","Lithuania","Mean age at first marriage - females",":"
"1960","Lithuania","Total first marriage rate - males",":"
"1960","Lithuania","Total first marriage rate - females",":"
"1960","Luxembourg","Mean age at first marriage - males",":"
"1960","Luxembourg","Mean age at first marriage - females",":"
"1960","Luxembourg","Total first marriage rate - males",":"
"1960","Luxembourg","Total first marriage rate - females",":"
"1960","Hungary","Mean age at first marriage - males",":"
"1960","Hungary","Mean age at first marriage - females",":"
"1960","Hungary","Total first marriage rate - males",":"
"1960","Hungary","Total first marriage rate - females",":"
"1960","Malta","Mean age at first marriage - males",":"
"1960","Malta","Mean age at first marriage - females",":"
"1960","Malta","Total first marriage rate - males",":"
"1960","Malta","Total first marriage rate - females",":"
"1960","Netherlands","Mean age at first marriage - males",":"
"1960","Netherlands","Mean age at first marriage - females",":"
"1960","Netherlands","Total first marriage rate - males",":"
"1960","Netherlands","Total first marriage rate - females",":"
"1960","Austria","Mean age at first marriage - males",":"
"1960","Austria","Mean age at first marriage - females",":"
"1960","Austria","Total first marriage rate - males",":"
"1960","Austria","Total first marriage rate - females",":"
"1960","Poland","Mean age at first marriage - males",":"
"1960","Poland","Mean age at first marriage - females",":"
"1960","Poland","Total first marriage rate - males",":"
"1960","Poland","Total first marriage rate - females",":"
"1960","Portugal","Mean age at first marriage - males",":"
"1960","Portugal","Mean age at first marriage - females",":"
"1960","Portugal","Total first marriage rate - males",":"
"1960","Portugal","Total first marriage rate - females",":"
"1960","Romania","Mean age at first marriage - males",":"
"1960","Romania","Mean age at first marriage - females",":"
"1960","Romania","Total first marriage rate - males",":"
"1960","Romania","Total first marriage rate - females",":"
"1960","Slovenia","Mean age at first marriage - males",":"
"1960","Slovenia","Mean age at first marriage - females",":"
"1960","Slovenia","Total first marriage rate - males",":"
"1960","Slovenia","Total first marriage rate - females",":"
"1960","Slovakia","Mean age at first marriage - males",":"
"1960","Slovakia","Mean age at first marriage - females",":"
"1960","Slovakia","Total first marriage rate - males",":"
"1960","Slovakia","Total first marriage rate - females",":"
"1960","Finland","Mean age at first marriage - males",":"
"1960","Finland","Mean age at first marriage - females",":"
"1960","Finland","Total first marriage rate - males",":"
"1960","Finland","Total first marriage rate - females",":"
"1960","Sweden","Mean age at first marriage - males",":"
"1960","Sweden","Mean age at first marriage - females",":"
"1960","Sweden","Total first marriage rate - males",":"
