"TIME","GEO","INDIC_DE","Value"
"1960","Belgium","Marriages","65 220"
"1960","Belgium","Crude marriage rate","7.1"
"1960","Belgium","Mean age at first marriage - males",":"
"1960","Belgium","Mean age at first marriage - females",":"
"1960","Belgium","Total first marriage rate - males",":"
"1960","Belgium","Total first marriage rate - females",":"
"1960","Belgium","Proportion of first marriages - males","90.6"
"1960","Belgium","Proportion of first marriages - females","91.0"
"1960","Bulgaria","Marriages","68 952"
"1960","Bulgaria","Crude marriage rate","8.8"
"1960","Bulgaria","Mean age at first marriage - males",":"
"1960","Bulgaria","Mean age at first marriage - females",":"
"1960","Bulgaria","Total first marriage rate - males",":"
"1960","Bulgaria","Total first marriage rate - females",":"
"1960","Bulgaria","Proportion of first marriages - males",":"
"1960","Bulgaria","Proportion of first marriages - females",":"
"1960","Czechia","Marriages","74 173"
"1960","Czechia","Crude marriage rate","7.7"
"1960","Czechia","Mean age at first marriage - males",":"
"1960","Czechia","Mean age at first marriage - females",":"
"1960","Czechia","Total first marriage rate - males",":"
"1960","Czechia","Total first marriage rate - females",":"
"1960","Czechia","Proportion of first marriages - males",":"
"1960","Czechia","Proportion of first marriages - females",":"
"1960","Denmark","Marriages","35 897"
"1960","Denmark","Crude marriage rate","7.8"
"1960","Denmark","Mean age at first marriage - males",":"
"1960","Denmark","Mean age at first marriage - females",":"
"1960","Denmark","Total first marriage rate - males",":"
"1960","Denmark","Total first marriage rate - females",":"
"1960","Denmark","Proportion of first marriages - males","84.8"
"1960","Denmark","Proportion of first marriages - females","86.6"
"1960","Germany including former GDR","Marriages","689 028"
"1960","Germany including former GDR","Crude marriage rate","9.5"
"1960","Germany including former GDR","Mean age at first marriage - males",":"
"1960","Germany including former GDR","Mean age at first marriage - females",":"
"1960","Germany including former GDR","Total first marriage rate - males",":"
"1960","Germany including former GDR","Total first marriage rate - females",":"
"1960","Germany including former GDR","Proportion of first marriages - males","85.8"
"1960","Germany including former GDR","Proportion of first marriages - females","89.1"
"1960","Estonia","Marriages","12 146"
"1960","Estonia","Crude marriage rate","10.0"
"1960","Estonia","Mean age at first marriage - males",":"
"1960","Estonia","Mean age at first marriage - females",":"
"1960","Estonia","Total first marriage rate - males",":"
"1960","Estonia","Total first marriage rate - females",":"
"1960","Estonia","Proportion of first marriages - males",":"
"1960","Estonia","Proportion of first marriages - females",":"
"1960","Ireland","Marriages","15 465"
"1960","Ireland","Crude marriage rate","5.5"
"1960","Ireland","Mean age at first marriage - males",":"
"1960","Ireland","Mean age at first marriage - females",":"
"1960","Ireland","Total first marriage rate - males",":"
"1960","Ireland","Total first marriage rate - females",":"
"1960","Ireland","Proportion of first marriages - males","97.7"
"1960","Ireland","Proportion of first marriages - females","98.7"
"1960","Greece","Marriages","58 165"
"1960","Greece","Crude marriage rate","7.0"
"1960","Greece","Mean age at first marriage - males",":"
"1960","Greece","Mean age at first marriage - females",":"
"1960","Greece","Total first marriage rate - males",":"
"1960","Greece","Total first marriage rate - females",":"
"1960","Greece","Proportion of first marriages - males","94.3"
"1960","Greece","Proportion of first marriages - females","96.5"
"1960","Spain","Marriages","236 877"
"1960","Spain","Crude marriage rate","7.8"
"1960","Spain","Mean age at first marriage - males",":"
"1960","Spain","Mean age at first marriage - females",":"
"1960","Spain","Total first marriage rate - males",":"
"1960","Spain","Total first marriage rate - females",":"
"1960","Spain","Proportion of first marriages - males","97.4"
"1960","Spain","Proportion of first marriages - females","98.7"
"1960","France","Marriages",":"
"1960","France","Crude marriage rate",":"
"1960","France","Mean age at first marriage - males",":"
"1960","France","Mean age at first marriage - females",":"
"1960","France","Total first marriage rate - males",":"
"1960","France","Total first marriage rate - females",":"
"1960","France","Proportion of first marriages - males",":"
"1960","France","Proportion of first marriages - females",":"
"1960","France (metropolitan)","Marriages","319 944"
"1960","France (metropolitan)","Crude marriage rate","7.0"
"1960","France (metropolitan)","Mean age at first marriage - males",":"
"1960","France (metropolitan)","Mean age at first marriage - females",":"
"1960","France (metropolitan)","Total first marriage rate - males",":"
"1960","France (metropolitan)","Total first marriage rate - females",":"
"1960","France (metropolitan)","Proportion of first marriages - males","89.9"
"1960","France (metropolitan)","Proportion of first marriages - females","90.5"
"1960","Croatia","Marriages","36 761"
"1960","Croatia","Crude marriage rate","8.9"
"1960","Croatia","Mean age at first marriage - males",":"
"1960","Croatia","Mean age at first marriage - females",":"
"1960","Croatia","Total first marriage rate - males",":"
