"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"1960","Belgium","Total","Total","Number","9 128 824",""
"1960","Belgium","Total","Males","Number","4 477 933",""
"1960","Belgium","Total","Females","Number","4 650 891",""
"1960","Bulgaria","Total","Total","Number","7 829 246",""
"1960","Bulgaria","Total","Males","Number","3 908 203",""
"1960","Bulgaria","Total","Females","Number","3 921 043",""
"1960","Czechia","Total","Total","Number","9 637 840",""
"1960","Czechia","Total","Males","Number","4 696 688",""
"1960","Czechia","Total","Females","Number","4 941 152",""
"1960","Denmark","Total","Total","Number","4 565 455",""
"1960","Denmark","Total","Males","Number","2 264 558",""
"1960","Denmark","Total","Females","Number","2 300 897",""
"1960","Germany including former GDR","Total","Total","Number","72 542 990",""
"1960","Germany including former GDR","Total","Males","Number","33 686 416",""
"1960","Germany including former GDR","Total","Females","Number","38 856 574",""
"1960","Estonia","Total","Total","Number","1 206 362",""
"1960","Estonia","Total","Males","Number","532 034",""
"1960","Estonia","Total","Females","Number","674 328",""
"1960","Ireland","Total","Total","Number","2 835 500",""
"1960","Ireland","Total","Males","Number","1 429 000",""
"1960","Ireland","Total","Females","Number","1 406 500",""
"1960","Greece","Total","Total","Number","8 300 399",""
"1960","Greece","Total","Males","Number","4 015 284",""
"1960","Greece","Total","Females","Number","4 285 115",""
"1960","Spain","Total","Total","Number","30 327 000",""
"1960","Spain","Total","Males","Number","14 831 040",""
"1960","Spain","Total","Females","Number","15 495 960",""
"1960","France","Total","Total","Number",":",""
"1960","France","Total","Males","Number",":",""
"1960","France","Total","Females","Number",":",""
"1960","France (metropolitan)","Total","Total","Number","45 464 797",""
"1960","France (metropolitan)","Total","Males","Number","22 046 611",""
"1960","France (metropolitan)","Total","Females","Number","23 418 186",""
"1960","Croatia","Total","Total","Number","4 127 422",""
"1960","Croatia","Total","Males","Number",":",""
"1960","Croatia","Total","Females","Number",":",""
"1960","Italy","Total","Total","Number","50 025 500",""
"1960","Italy","Total","Males","Number","24 498 900",""
"1960","Italy","Total","Females","Number","25 526 600",""
"1960","Cyprus","Total","Total","Number","572 000",""
"1960","Cyprus","Total","Males","Number",":",""
"1960","Cyprus","Total","Females","Number",":",""
"1960","Latvia","Total","Total","Number","2 104 128",""
"1960","Latvia","Total","Males","Number",":",""
"1960","Latvia","Total","Females","Number",":",""
"1960","Lithuania","Total","Total","Number","2 755 600",""
"1960","Lithuania","Total","Males","Number",":",""
"1960","Lithuania","Total","Females","Number",":",""
"1960","Luxembourg","Total","Total","Number","313 050",""
"1960","Luxembourg","Total","Males","Number","154 572",""
"1960","Luxembourg","Total","Females","Number","158 478",""
"1960","Hungary","Total","Total","Number","9 961 044",""
"1960","Hungary","Total","Males","Number","4 804 043",""
"1960","Hungary","Total","Females","Number","5 157 001",""
"1960","Malta","Total","Total","Number","327 200",""
"1960","Malta","Total","Males","Number",":",""
"1960","Malta","Total","Females","Number",":",""
"1960","Netherlands","Total","Total","Number","11 417 254",""
"1960","Netherlands","Total","Males","Number","5 686 152",""
"1960","Netherlands","Total","Females","Number","5 731 102",""
"1960","Austria","Total","Total","Number","7 030 385",""
"1960","Austria","Total","Males","Number","3 273 218",""
"1960","Austria","Total","Females","Number","3 757 167",""
"1960","Poland","Total","Total","Number","29 479 900",""
"1960","Poland","Total","Males","Number","14 226 100",""
"1960","Poland","Total","Females","Number","15 253 800",""
"1960","Portugal","Total","Total","Number","8 826 040",""
"1960","Portugal","Total","Males","Number","4 222 790",""
"1960","Portugal","Total","Females","Number","4 603 250",""
"1960","Romania","Total","Total","Number","18 319 210",""
"1960","Romania","Total","Males","Number",":",""
"1960","Romania","Total","Females","Number",":",""
"1960","Slovenia","Total","Total","Number","1 580 535",""
"1960","Slovenia","Total","Males","Number",":",""
"1960","Slovenia","Total","Females","Number",":",""
"1960","Slovakia","Total","Total","Number","3 969 682",""
"1960","Slovakia","Total","Males","Number","1 941 448",""
"1960","Slovakia","Total","Females","Number","2 028 234",""
"1960","Finland","Total","Total","Number","4 413 046",""
"1960","Finland","Total","Males","Number","2 124 665",""
"1960","Finland","Total","Females","Number","2 288 381",""
"1960","Sweden","Total","Total","Number","7 471 345",""
"1960","Sweden","Total","Males","Number","3 727 770",""
"1960","Sweden","Total","Females","Number","3 743 575",""
"1960","United Kingdom","Total","Total","Number","52 200 000",""
"1960","United Kingdom","Total","Males","Number","25 200 000",""
"1960","United Kingdom","Total","Females","Number","27 000 000",""
"1960","Iceland","Total","Total","Number","173 855",""
"1960","Iceland","Total","Males","Number","87 773",""
"1960","Iceland","Total","Females","Number","86 082",""
"1960","Liechtenstein","Total","Total","Number","16 274",""
"1960","Liechtenstein","Total","Males","Number","7 932",""
"1960","Liechtenstein","Total","Females","Number","8 342",""
"1960","Norway","Total","Total","Number","3 567 707",""
"1960","Norway","Total","Males","Number","1 777 758",""
"1960","Norway","Total","Females","Number","1 789 949",""
"1960","Switzerland","Total","Total","Number","5 295 500",""
"1960","Switzerland","Total","Males","Number","2 565 100",""
"1960","Switzerland","Total","Females","Number","2 730 400",""
"1960","Montenegro","Total","Total","Number",":",""
"1960","Montenegro","Total","Males","Number",":",""
"1960","Montenegro","Total","Females","Number",":",""
"1960","North Macedonia","Total","Total","Number","1 384 451",""
"1960","North Macedonia","Total","Males","Number",":",""
"1960","North Macedonia","Total","Females","Number",":",""
"1960","Albania","Total","Total","Number","1 583 800",""
"1960","Albania","Total","Males","Number",":",""
"1960","Albania","Total","Females","Number",":",""
"1960","Serbia","Total","Total","Number",":",""
"1960","Serbia","Total","Males","Number",":",""
"1960","Serbia","Total","Females","Number",":",""
"1960","Turkey","Total","Total","Number","27 119 962",""
"1960","Turkey","Total","Males","Number","13 831 252",""
"1960","Turkey","Total","Females","Number","13 288 710",""
"1960","Andorra","Total","Total","Number",":",""
"1960","Andorra","Total","Males","Number",":",""
"1960","Andorra","Total","Females","Number",":",""
"1960","Belarus","Total","Total","Number",":",""
"1960","Belarus","Total","Males","Number",":",""
"1960","Belarus","Total","Females","Number",":",""
"1960","Bosnia and Herzegovina","Total","Total","Number","3 212 349",""
"1960","Bosnia and Herzegovina","Total","Males","Number",":",""
"1960","Bosnia and Herzegovina","Total","Females","Number",":",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Males","Number",":",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Females","Number",":",""
"1960","Moldova","Total","Total","Number",":",""
"1960","Moldova","Total","Males","Number",":",""
"1960","Moldova","Total","Females","Number",":",""
"1960","Monaco","Total","Total","Number",":",""
"1960","Monaco","Total","Males","Number",":",""
"1960","Monaco","Total","Females","Number",":",""
"1960","Russia","Total","Total","Number",":",""
"1960","Russia","Total","Males","Number",":",""
"1960","Russia","Total","Females","Number",":",""
"1960","San Marino","Total","Total","Number",":",""
"1960","San Marino","Total","Males","Number",":",""
"1960","San Marino","Total","Females","Number",":",""
"1960","Ukraine","Total","Total","Number",":",""
"1960","Ukraine","Total","Males","Number",":",""
"1960","Ukraine","Total","Females","Number",":",""
"1960","Armenia","Total","Total","Number",":",""
"1960","Armenia","Total","Males","Number",":",""
"1960","Armenia","Total","Females","Number",":",""
"1960","Azerbaijan","Total","Total","Number",":",""
"1960","Azerbaijan","Total","Males","Number",":",""
"1960","Azerbaijan","Total","Females","Number",":",""
"1960","Georgia","Total","Total","Number",":",""
"1960","Georgia","Total","Males","Number",":",""
"1960","Georgia","Total","Females","Number",":",""
"1961","Belgium","Total","Total","Number","9 178 154",""
"1961","Belgium","Total","Males","Number","4 497 822",""
"1961","Belgium","Total","Females","Number","4 680 332",""
