"TIME","GEO","AGE","SEX","UNIT","Value"
"1960","Belgium","Total","Total","Number","9 128 824"
"1960","Belgium","Less than 15 years","Total","Number","2 135 303"
"1960","Belgium","From 15 to 64 years","Total","Number","5 902 147"
"1960","Belgium","65 years or over","Total","Number","1 091 374"
"1960","Belgium","Unknown","Total","Number","0"
"1960","Bulgaria","Total","Total","Number","7 829 246"
"1960","Bulgaria","Less than 15 years","Total","Number","2 048 327"
"1960","Bulgaria","From 15 to 64 years","Total","Number","5 198 117"
"1960","Bulgaria","65 years or over","Total","Number","582 802"
"1960","Bulgaria","Unknown","Total","Number","0"
"1960","Czechia","Total","Total","Number","9 637 840"
"1960","Czechia","Less than 15 years","Total","Number","2 469 772"
"1960","Czechia","From 15 to 64 years","Total","Number","6 254 454"
"1960","Czechia","65 years or over","Total","Number","913 614"
"1960","Czechia","Unknown","Total","Number","0"
"1960","Denmark","Total","Total","Number","4 565 455"
"1960","Denmark","Less than 15 years","Total","Number","1 162 627"
"1960","Denmark","From 15 to 64 years","Total","Number","2 923 355"
"1960","Denmark","65 years or over","Total","Number","479 473"
"1960","Denmark","Unknown","Total","Number","0"
"1960","Germany including former GDR","Total","Total","Number","72 542 990"
"1960","Germany including former GDR","Less than 15 years","Total","Number","15 249 940"
"1960","Germany including former GDR","From 15 to 64 years","Total","Number","48 984 812"
"1960","Germany including former GDR","65 years or over","Total","Number","8 308 238"
"1960","Germany including former GDR","Unknown","Total","Number","0"
"1960","Estonia","Total","Total","Number","1 206 362"
"1960","Estonia","Less than 15 years","Total","Number","276 150"
"1960","Estonia","From 15 to 64 years","Total","Number","803 101"
"1960","Estonia","65 years or over","Total","Number","126 950"
"1960","Estonia","Unknown","Total","Number","161"
"1960","Ireland","Total","Total","Number","2 835 500"
"1960","Ireland","Less than 15 years","Total","Number","875 100"
"1960","Ireland","From 15 to 64 years","Total","Number","1 645 100"
"1960","Ireland","65 years or over","Total","Number","315 300"
"1960","Ireland","Unknown","Total","Number","0"
"1960","Greece","Total","Total","Number","8 300 399"
"1960","Greece","Less than 15 years","Total","Number","2 057 585"
"1960","Greece","From 15 to 64 years","Total","Number","5 466 683"
"1960","Greece","65 years or over","Total","Number","776 131"
"1960","Greece","Unknown","Total","Number","0"
"1960","Spain","Total","Total","Number","30 327 000"
"1960","Spain","Less than 15 years","Total","Number","8 322 237"
"1960","Spain","From 15 to 64 years","Total","Number","19 517 964"
"1960","Spain","65 years or over","Total","Number","2 486 799"
"1960","Spain","Unknown","Total","Number","0"
"1960","France","Total","Total","Number",":"
"1960","France","Less than 15 years","Total","Number",":"
"1960","France","From 15 to 64 years","Total","Number",":"
"1960","France","65 years or over","Total","Number",":"
"1960","France","Unknown","Total","Number",":"
"1960","France (metropolitan)","Total","Total","Number","45 464 797"
"1960","France (metropolitan)","Less than 15 years","Total","Number","11 927 392"
"1960","France (metropolitan)","From 15 to 64 years","Total","Number","28 249 489"
"1960","France (metropolitan)","65 years or over","Total","Number","5 287 916"
"1960","France (metropolitan)","Unknown","Total","Number","0"
"1960","Croatia","Total","Total","Number","4 127 422"
"1960","Croatia","Less than 15 years","Total","Number",":"
"1960","Croatia","From 15 to 64 years","Total","Number",":"
"1960","Croatia","65 years or over","Total","Number",":"
"1960","Croatia","Unknown","Total","Number",":"
"1960","Italy","Total","Total","Number","50 025 500"
"1960","Italy","Less than 15 years","Total","Number","12 366 700"
"1960","Italy","From 15 to 64 years","Total","Number","33 027 700"
"1960","Italy","65 years or over","Total","Number","4 631 100"
"1960","Italy","Unknown","Total","Number","0"
"1960","Cyprus","Total","Total","Number","572 000"
"1960","Cyprus","Less than 15 years","Total","Number",":"
"1960","Cyprus","From 15 to 64 years","Total","Number",":"
"1960","Cyprus","65 years or over","Total","Number",":"
"1960","Cyprus","Unknown","Total","Number",":"
