"TIME","GEO","INDIC_DE","Value"
"1960","Belgium","Median age of population","35.2"
"1960","Belgium","Proportion of population aged 65 years and more","12.0"
"1960","Belgium","Median age of population - males","34.2"
"1960","Belgium","Median age of population - females","36.3"
"1960","Belgium","Proportion of population aged 0-17 years","27.1"
"1960","Bulgaria","Median age of population","30.3"
"1960","Bulgaria","Proportion of population aged 65 years and more","7.4"
"1960","Bulgaria","Median age of population - males","29.8"
"1960","Bulgaria","Median age of population - females","30.8"
"1960","Bulgaria","Proportion of population aged 0-17 years","30.7"
"1960","Czechia","Median age of population","33.2"
"1960","Czechia","Proportion of population aged 65 years and more","9.5"
"1960","Czechia","Median age of population - males","31.8"
"1960","Czechia","Median age of population - females","34.6"
"1960","Czechia","Proportion of population aged 0-17 years","30.3"
"1960","Denmark","Median age of population","33.0"
"1960","Denmark","Proportion of population aged 65 years and more","10.5"
"1960","Denmark","Median age of population - males","32.0"
"1960","Denmark","Median age of population - females","34.0"
"1960","Denmark","Proportion of population aged 0-17 years","30.7"
"1960","Germany including former GDR","Median age of population","34.8"
"1960","Germany including former GDR","Proportion of population aged 65 years and more","11.5"
"1960","Germany including former GDR","Median age of population - males","31.4"
"1960","Germany including former GDR","Median age of population - females","37.6"
"1960","Germany including former GDR","Proportion of population aged 0-17 years","25.2"
"1960","Estonia","Median age of population","32.0"
"1960","Estonia","Proportion of population aged 65 years and more",":"
"1960","Estonia","Median age of population - males","28.5"
"1960","Estonia","Median age of population - females","35.3"
"1960","Estonia","Proportion of population aged 0-17 years","26.6"
"1960","Ireland","Median age of population","29.8"
"1960","Ireland","Proportion of population aged 65 years and more","11.1"
"1960","Ireland","Median age of population - males","29.2"
"1960","Ireland","Median age of population - females","30.5"
"1960","Ireland","Proportion of population aged 0-17 years",":"
"1960","Greece","Median age of population",":"
"1960","Greece","Proportion of population aged 65 years and more",":"
"1960","Greece","Median age of population - males",":"
"1960","Greece","Median age of population - females",":"
"1960","Greece","Proportion of population aged 0-17 years",":"
"1960","Spain","Median age of population","29.6"
"1960","Spain","Proportion of population aged 65 years and more","8.2"
"1960","Spain","Median age of population - males","28.3"
"1960","Spain","Median age of population - females","30.8"
"1960","Spain","Proportion of population aged 0-17 years",":"
"1960","France","Median age of population",":"
"1960","France","Proportion of population aged 65 years and more",":"
"1960","France","Median age of population - males",":"
"1960","France","Median age of population - females",":"
"1960","France","Proportion of population aged 0-17 years",":"
"1960","France (metropolitan)","Median age of population","33.0"
"1960","France (metropolitan)","Proportion of population aged 65 years and more","11.6"
"1960","France (metropolitan)","Median age of population - males","31.2"
"1960","France (metropolitan)","Median age of population - females","34.7"
"1960","France (metropolitan)","Proportion of population aged 0-17 years","30.0"
"1960","Croatia","Median age of population",":"
"1960","Croatia","Proportion of population aged 65 years and more",":"
"1960","Croatia","Median age of population - males",":"
"1960","Croatia","Median age of population - females",":"
"1960","Croatia","Proportion of population aged 0-17 years",":"
"1960","Italy","Median age of population","31.2"
"1960","Italy","Proportion of population aged 65 years and more","9.3"
"1960","Italy","Median age of population - males","30.1"
"1960","Italy","Median age of population - females","32.3"
"1960","Italy","Proportion of population aged 0-17 years","29.2"
"1960","Cyprus","Median age of population",":"
"1960","Cyprus","Proportion of population aged 65 years and more",":"
"1960","Cyprus","Median age of population - males",":"
"1960","Cyprus","Median age of population - females",":"
"1960","Cyprus","Proportion of population aged 0-17 years",":"
"1960","Latvia","Median age of population",":"
"1960","Latvia","Proportion of population aged 65 years and more",":"
"1960","Latvia","Median age of population - males",":"
"1960","Latvia","Median age of population - females",":"
"1960","Latvia","Proportion of population aged 0-17 years",":"
"1960","Lithuania","Median age of population",":"
"1960","Lithuania","Proportion of population aged 65 years and more",":"
"1960","Lithuania","Median age of population - males",":"
"1960","Lithuania","Median age of population - females",":"
"1960","Lithuania","Proportion of population aged 0-17 years",":"
"1960","Luxembourg","Median age of population","35.2"
"1960","Luxembourg","Proportion of population aged 65 years and more","10.8"
"1960","Luxembourg","Median age of population - males","33.9"
"1960","Luxembourg","Median age of population - females","36.5"
"1960","Luxembourg","Proportion of population aged 0-17 years",":"
"1960","Hungary","Median age of population","32.0"
